Frame,X,Y
953,1533,107
954,1542,107
955,1551,107
956,1561,106
957,1571,105
958,1582,104
959,1594,103
960,1601,102
961,1602,103
962,1594,103
963,1583,104
964,1573,105
965,1563,106
966,1555,106
967,1547,106
968,1540,105
969,1534,104
970,1528,103
971,1523,102
972,1519,103
973,1515,103
974,1512,103
975,1511,104
976,1511,106
977,1512,107
978,1514,108
979,1517,108
980,1520,109
981,1524,109
982,1529,108
983,1534,107
984,1540,105
985,1547,104
986,1554,102
987,1562,103
988,1570,104
989,1579,105
990,1589,107
991,1598,108
992,1600,109
993,1594,111
994,1585,113
995,1577,113
996,1569,115
997,1562,117
998,1556,119
999,1551,121
1000,1546,124
1001,1544,127
1002,1541,130
1003,1538,132
1004,1536,134
1005,1536,133
1006,1537,132
1007,1540,131
1008,1544,129
1009,1547,127
1010,1551,124
1011,1556,122
1012,1562,119
1013,1567,116
1014,1573,113
1015,1580,109
1016,1588,106
1017,1596,102
1018,1597,101
1019,1592,103
1020,1584,106
1021,1578,109
1022,1572,110
1023,1566,111
1024,1561,112
1025,1557,112
1026,1554,112
1027,1552,110
1028,1550,109
1029,1548,109
1030,1547,108
1031,1548,106
1032,1548,104
1033,1549,103
1034,1550,103
1035,1552,105
1036,1554,107
1037,1556,109
1038,1559,111
1039,1563,112
1040,1568,113
1041,1573,113
1042,1579,113
1043,1585,113
1044,1593,114
1045,1597,114
1046,1593,115
1047,1587,116
1048,1580,117
1049,1575,118
1050,1571,119
1051,1567,119
1052,1564,118
1053,1562,117
1054,1560,116
1055,1559,115
1056,1560,113
1057,1562,112
1058,1564,110
1059,1567,109
1060,1571,107
1061,1575,105
1062,1580,102
1063,1586,103
1064,1593,105
1065,1596,106
1066,1591,108
1067,1585,108
1068,1580,108
1069,1576,107
1070,1572,106
1071,1569,105
1072,1567,104
1073,1565,103
1074,1564,103
1075,1564,103
1076,1564,103
1077,1564,103
1078,1565,103
1079,1566,102
1080,1567,103
1081,1568,105
1082,1570,107
1083,1572,108
1084,1575,109
1085,1579,109
1086,1583,110
1087,1588,109
1088,1594,109
1089,1594,109
1090,1589,109
1091,1584,111
1092,1581,111
1093,1578,111
1094,1575,110
1095,1574,109
1096,1572,107
1097,1572,105
1098,1573,103
1099,1575,102
1100,1578,103
1101,1582,104
1102,1586,105
1103,1592,105
1104,1595,104
1105,1591,103
1106,1586,102
1107,1582,103
1108,1580,104
1109,1577,105
1110,1576,106
1111,1574,107
1112,1574,107
1113,1575,107
1114,1577,106
1115,1578,104
1116,1579,102
1117,1581,103
1118,1584,104
1119,1588,104
1120,1592,105
1121,1594,105
1122,1590,104
1123,1586,103
1124,1583,102
1125,1582,103
1126,1580,103
1127,1580,103
1128,1580,102
1129,1581,102
1130,1583,102
1131,1586,103
1132,1590,103
1133,1594,102
1134,1592,102
1135,1588,102
1136,1586,103
1137,1584,103
1138,1584,103
1139,1584,102
1140,1586,103
1141,1588,103
1142,1591,104
1143,1594,104
1144,1591,103
1145,1589,102
1146,1587,103
1147,1586,104
1148,1585,104
1149,1587,103
1150,1588,102
1151,1590,103
1152,1594,102
1153,1592,102
1154,1589,102
1155,1588,102
1156,1587,103
1157,1587,103
1158,1587,103
1159,1588,102
1160,1590,103
1161,1592,102
1162,1593,103
1163,1591,103
1164,1590,102
1165,1590,102
1166,1591,103
1167,1593,102
1168,1593,102
1169,1591,103
1170,1223,542
1171,1188,546
1172,1155,551
1173,1122,556
1174,1091,561
1175,1062,565
1176,1032,569
1177,1002,573
1178,976,577
1179,954,582
1180,934,589
1181,918,600
1182,903,610
1183,890,619
1184,880,630
1185,871,640
1186,862,652
1187,852,662
1188,842,674
1189,830,686
1190,816,696
1191,801,703
1192,785,710
1193,767,716
1194,749,723
1195,732,731
1196,713,738
1197,692,744
1198,669,749
1199,644,754
1200,621,758
1201,596,761
1202,570,765
1203,544,768
1204,521,771
1205,500,773
1206,482,773
1207,465,772
1208,451,773
1209,445,774
1210,450,775
1211,462,776
1212,477,776
1213,491,776
1214,506,778
1215,521,781
1216,537,784
1217,554,787
1218,569,789
1219,581,790
1220,592,788
1221,602,786
1222,607,780
1223,611,773
1224,613,768
1225,614,759
1226,613,748
1227,612,738
1228,611,728
1229,609,719
1230,607,711
1231,605,703
1232,603,697
1233,598,689
1234,591,680
1235,584,672
1236,577,666
1237,570,660
1238,563,656
1239,559,656
1240,558,659
1241,559,666
1242,561,675
1243,563,685
1244,565,696
1245,566,706
1246,567,718
1247,568,729
1248,570,740
1249,571,752
1250,572,765
1251,571,776
1252,567,785
1253,560,791
1254,553,798
1255,546,797
1256,540,791
1257,534,784
1258,528,778
1259,527,771
1260,528,763
1261,529,756
1262,529,749
1263,527,743
1264,526,737
1265,524,732
1266,523,728
1267,522,724
1268,522,720
1269,522,718
1270,523,715
1271,524,714
1272,525,712
1273,524,711
1274,523,710
1275,522,710
1276,521,709
1277,521,709
1278,521,710
1279,522,710
1280,523,710
1281,523,710
1282,524,711
1283,524,711
1284,525,712
1285,524,713
1286,523,713
1287,523,714
1288,522,716
1289,521,718
1290,522,719
1291,523,721
1292,523,723
1293,523,727
1294,523,731
1295,525,734
1296,526,739
1297,527,744
1298,528,749
1299,529,755
1300,529,761
1301,529,767
1302,528,774
1303,530,781
1304,535,786
1305,541,791
1306,546,795
1307,553,794
1308,559,794
1309,563,792
1310,565,789
1311,566,788
1312,567,787
1313,568,785
1314,570,782
1315,571,779
1316,571,773
1317,567,765
1318,563,758
